almaMmsId	rpbId	hbzId	zdbId
990107323740206441	RPB036t951231	HT012579821	1293976-6
990056222280206441	RPB036t990998	HT007076081	1293314-4
990107529040206441	RPB036t951316	HT012600351	1325369-4
990056245800206441	RPB036t951317	HT007192878	1287227-1
990107519580206441	RPB036t990301	HT012599405	1324050-X
990107658300206441	RPB036t951354	HT012613277	1342407-5
990056365360206441	RPB036t991376	HT007472126	1309981-4
990107599760206441	RPB036t960117	HT012607423	1334787-1
990107672370206441	RPB036t961022	HT012614684	1344147-4
990107647970206441	RPB036t961024	HT012612244	1341047-7
990054587510206441	RPB036t961033	HT006227666	1138958-8
990054587520206441	RPB036t961034	HT006227698	1138959-X
990054587540206441	RPB929t080494	HT006227759	1138960-6
990056163190206441	RPB036t961037	HT007069390	1215365-5
990056247590206441	RPB036t961038	HT007193065	1304309-2
990054425200206441	RPB036t961039	HT004429169	1135881-6
990056348340206441	RPB036t961040	HT007417973	1359258-0
990054425190206441	RPB036t961041	HT004429151	1135884-1
990107652900206441	RPB036t990908	HT012612737	1341699-6
990107587430206441	RPB036t961223	HT012606190	1333139-5
990107586590206441	RPB036t961239	HT012606106	1333020-2
990107588590206441	RPB036t961240	HT012606306	1333301-X
990107588400206441	RPB036t961241	HT012606287	1333268-5
990107728990206441	RPB036t961242	HT012620346	1353489-0
990107730230206441	RPB036t961243	HT012620470	1353664-3
990107558750206441	RPB036t961248	HT012603322	1329321-7
990107584320206441	RPB036t961249	HT012605879	1332726-4
990107382650206441	RPB036t961250	HT012585712	1305227-5
990107682660206441	RPB036t961251	HT012615713	1345515-1
990107441950206441	RPB036t961287	HT012591642	1312885-1
990104993290206441	RPB036t961289	HT012346776	919207-4
990123366120206441	RPB036t970388	TT000177309	
990129085520206441	RPB036t970732	HT014038985	2146966-0
990108300930206441	RPB036t970871	HT012677540	1427733-5
990108068430206441	RPB036t001125	HT012654290	1398404-4
990108091080206441	RPB036t971070	HT012656555	1401429-4
990108068740206441	RPB036t971071	HT012654321	1398459-7
990056282420206441	RPB036t971072	HT007216391	1303871-0
990108135050206441	RPB036t971130	HT012660952	1407107-1
990054215590206441	RPB036t971131	HT002619553	518707-2
990108212240206441	RPB036t971132	HT012668671	1416654-9
990056554470206441	RPB036t971194	HT008952402	1412725-8
990108259450206441	RPB036t971195	HT012673392	1422571-2
990056054480206441	RPB036t930029	HT007056838	1134407-6
990105134790206441	RPB036t971302	HT012360926	985722-9
990107895360206441	RPB036t971338	HT012636983	1376378-7
990103525350206441	RPB036t971339	HT012199982	519650-4
990104959280206441	RPB036t930489	HT012343375	915067-5
990108247710206441	RPB036t971343	HT012672218	1421117-8
990108037670206441	RPB036t971344	HT012651214	1394410-1
990107546030206441	RPB036t971345	HT012602050	1327586-0
990104992800206441	RPB036t981170	HT012346727	919149-5
990101936050206441	RPB036t971372	HT012041052	28850-0
990108134490206441	RPB036t971373	HT012660896	1407027-3
990107957150206441	RPB036t971374	HT012643162	1384302-3
990056451160206441	RPB036t990774	HT007960303	1403987-4
990054614950206441	RPB036t971471	HT006492908	
990108367940206441	RPB036t971478	HT012684241	1436016-0
990108427300206441	RPB036t971479	HT012690177	1443445-3
990056450970206441	RPB036t971493	HT007960283	1403848-1
990056423860206441	RPB036t971500	HT007712506	1395568-8
990054671930206441	RPB036t971501	HT006890005	27702-2
990124446930206441	RPB036t971518	HT013896508	2131436-6
990028946890206441	RPB036t980422	HT007531821	
990027384560206441	RPB036t980423	HT007202471	
990056365360206441	RPB036t991376	HT007472126	1309981-4
990105735260206441	RPB036t980564	HT012420973	1071393-1
990055929440206441	RPB036t980572	HT007041918	1062426-0
990055296020206441	RPB036t980605	HT006966564	574727-2
990105673330206441	RPB036t980609	HT012414780	1062422-3
990055929430206441	RPB036t980610	HT007041917	1062419-3
990055902260206441	RPB036t980611	HT007038746	1048779-7
990108671840206441	RPB036t980702	HT012714631	1475714-X
990108671770206441	RPB036t980718	HT012714624	1475707-2
990108443910206441	RPB036t980764	HT012691838	1445653-9
990034902770206441	RPB036t980770	HT008720670	
990108204960206441	RPB036t980772	HT012667943	1415756-1
990108534050206441	RPB036t980774	HT012700852	1457217-5
